Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0B4J1L0	A0A0B4J1L0	CEACAM15	CEACAM15			MGI:2141810	MGI:2141810	PDB_4JGJ:0114:LC
A0A0E4B366	A0A0F7R5U8	HC	LC					29379174:0114:LC
A0A0E4B366	Q7TS98	HC	Q7TS98					30742080:0114:LC
A0A0F7R5U8	A0A0F7R5U8	LC	LC					30571096:0114:LC
A0A0F7R5U8	P01863	LC	IGHG				MGI:2144967	31962046:0114:LC
A0A0F7R5U8	Q99M22	LC	IGH					30571096:0114:LC
A0A0G2JF94	P01900	TRAV14-1	H2-D1			MGI:3646773	MGI:95896	PDB_6G9Q:0114:LC
A0A0G2JF94	Q64237	TRAV14-1	DBH			MGI:3646773	MGI:94864	PDB_6G9Q:0114:LC
A0A0M3KL48	A0A0M3KL49	A0A0M3KL48	A0A0M3KL49					26542571:0114:LC
A0A0M3KL49	A0A0M3KL49	A0A0M3KL49	A0A0M3KL49					26542571:0114:LC
A0A0R4J186	Q60629	SAMD5	EPHA5			MGI:2444815	MGI:99654	29749928:0114:LC
A0A140LI88	A0A140LI88	ANKRD31	ANKRD31			MGI:5006716	MGI:5006716	31003867:0114:LC
A0A140LI88	Q9CWH4	ANKRD31	REC114			MGI:5006716	MGI:1920923	31003867:0114:LC
A0A5E3	P01867	LOC100046793	IGH-3				MGI:96445	PDB_1HQ4:0114:LC
A0JNT9	A0JNT9	BICDL1	BICDL1			MGI:1922915	MGI:1922915	29420470:0114:LC|33734450:0114:LC
A0N262	A0N262	VK	VK					19018101:0114:LC
A0N262	A2NU21	VK	A2NU21					19018101:0114:LC
A0NA69	P01635	A0NA69	P01635					8950273:0114:LC
A0NA69	P01646	A0NA69	P01646					8950273:0114:LC
A0NA69	P01820	A0NA69	P01820					8950273:0114:LC
A1L314	A1L314	MPEG1	MPEG1			MGI:1333743	MGI:1333743	32064340:0114:LC
A2A259	A2A259	PKD2L1	PKD2L1			MGI:1352448	MGI:1352448	29567962:0114:LC
A2A5P2	P81183	A2A5P2	IKZF2				MGI:1342541	20211142:0018:HT
A2A5P2	Q8BKT3	A2A5P2	GCFC2				MGI:2141656	20211142:0018:HT
A2A9F6	P45448	A2A9F6	NR5A2				MGI:1346834	20211142:0018:HT
A2A9F6	Q9WUU6	A2A9F6	HNF4G				MGI:1353604	20211142:0018:HT
A2ABV5	Q6PGF3	MED14	MED16			MGI:1349442	MGI:2158394	31402173:0114:LC
A2ABV5	Q80YQ2	MED14	MED23			MGI:1349442	MGI:1917458	31402173:0114:LC
A2ABV5	Q8VCD5	MED14	MED17			MGI:1349442	MGI:2182585	31402173:0114:LC
A2ABV5	Q920D3	MED14	MED28		FKSG20	MGI:1349442	MGI:1914249	31402173:0114:LC
A2ABV5	Q921D4	MED14	MED6			MGI:1349442	MGI:1917042	31402173:0114:LC
A2ABV5	Q924H2	MED14	MED15			MGI:1349442	MGI:2137379	31402173:0114:LC
A2ABV5	Q9CQ39	MED14	MED21			MGI:1349442	MGI:1347064	31402173:0114:LC
A2ABV5	Q9CQA5	MED14	MED4			MGI:1349442	MGI:1914631	31402173:0114:LC
A2ABV5	Q9CXU1	MED14	MED31			MGI:1349442	MGI:1914529	31402173:0114:LC
A2ABV5	Q9CZB6	MED14	MED7			MGI:1349442	MGI:1913463	31402173:0114:LC
A2ABV5	Q9DB40	MED14	MED27			MGI:1349442	MGI:1916225	31402173:0114:LC
A2ABV5	Q9DB91	MED14	MED29			MGI:1349442	MGI:1914474	31402173:0114:LC
A2ABV5	Q9R0X0	MED14	MED20			MGI:1349442	MGI:1929648	31402173:0114:LC
A2AHS9	Q62318	A2AHS9	TRIM28				MGI:109274	20211142:0018:HT
A2AIT5	Q99PM3	A2AIT5	GTF2A1				MGI:1933277	20211142:0018:HT
A2AIT5	Q9CXU1	A2AIT5	MED31				MGI:1914529	20211142:0018:HT
A2AQ92	A2AQ92	DUOX1	DUOX1			MGI:2139422	MGI:2139422	32929281:0114:LC
A2AQ92	Q8VE49	DUOX1	DUOXA1			MGI:2139422	MGI:2384861	32929281:0114:LC
A2AQR4	A2AQR4	ZFP64	ZFP64			MGI:107342	MGI:107342	20211142:0018:HT|20211142:0397:HT
A2AQR4	Q6PGF3	ZFP64	MED16			MGI:107342	MGI:2158394	20211142:0018:HT|20211142:0397:HT
A2AQR4	Q99PM3	ZFP64	GTF2A1			MGI:107342	MGI:1933277	20211142:0018:HT|20211142:0397:HT
A2AR50	A2AR50	RALGPS1	RALGPS1			MGI:1922008	MGI:1922008	PDB_2DTC:0114:LC
A2ASQ1	A2ASQ1	AGRN	AGRN			MGI:87961	MGI:87961	PDB_3PVE:0114:LC
A2ASS6	Q9CR42	TTN	ANKRD1			MGI:98864	MGI:1097717	20860623:0018:LC|24515436:0018:LC
A2AWQ8	P97346	A2AWQ8	NXN				MGI:109331	11591653:0397:HT
A2BH40	Q3TKT4	ARID1A	SMARCA4			MGI:1935147	MGI:88192	23540691:0006:LC|11988099:0019:LC|11988099:0071:LC|23540691:0029:LC
A2N494	A2N494	A2N494	A2N494					19018101:0114:LC
A2N494	A2NU21	A2N494	A2NU21					19018101:0114:LC
A2NN81	A2NN81	IGH-V7183	IGH-V7183			MGI:96484	MGI:96484	PDB_2OTU:0114:LC
A2NTU7	A2NTU7	A2NTU7	A2NTU7					17418792:0114:LC
A2NTU7	A2NTY6	A2NTU7	A2NTY6					17418792:0114:LC|17418792:0065:LC
A2NTU7	P01897	A2NTU7	H2-L				MGI:95912	17418792:0114:LC|17418792:0065:LC
A2NTY6	A2NTY6	A2NTY6	A2NTY6					21059660:0114:LC
A2NTY6	P01738	A2NTY6	P01738					17220897:0114:LC|17418792:0114:LC|18941216:0114:LC
A2NTY6	P01897	A2NTY6	H2-L				MGI:95912	17418792:0114:LC
A2NTY6	P06344	A2NTY6	P06344					17694060:0114:LC
A2NTY6	P14434	A2NTY6	H2-AA				MGI:95895	17694060:0114:LC
A2NTY6	Q5R1F5	A2NTY6	TRAV6D-7					17694060:0114:LC
A2NTY6	Q60597	A2NTY6	OGDH				MGI:1098267	18941216:0114:LC
A2NU21	A2NU21	A2NU21	A2NU21					19018101:0114:LC
A2NU21	Q52L64	A2NU21	IGKV8-30				MGI:3642250	18272175:0114:LC
A2NUE8	P01837	A2NUE8	IGKC				MGI:96495	16472740:0114:LC
